approved,loan_amount,income,debt_to_income_ratio,loan_to_value_ratio,loan_purpose,applicant_race-1,applicant_sex,applicant_age,property_value,occupancy_type
1,45000.0,29.0,<20%,24.0,32,5.0,1,45-54,185000,1
1,305000.0,98.0,43,67.0,32,6.0,3,35-44,455000,1
1,125000.0,42.0,40,97.0,1,5.0,2,25-34,135000,1
1,155000.0,232.0,20%-<30%,80.0,1,2.0,2,45-54,185000,2
1,505000.0,204.0,41,37.064,4,5.0,1,55-64,1345000,1
1,325000.0,92.0,20%-<30%,71.871,1,5.0,1,35-44,445000,1
0,45000.0,90.0,37,,1,5.0,2,25-34,55000,1
0,75000.0,12.0,>60%,,1,5.0,2,45-54,95000,1
1,225000.0,150.0,39,56.41,32,5.0,1,45-54,395000,1
0,65000.0,26.0,20%-<30%,64.516,2,1.0,2,55-64,95000,1
1,175000.0,72.0,30%-<36%,100.0,1,6.0,2,35-44,175000,1
1,645000.0,338.0,46,76.141,1,5.0,1,45-54,855000,1
1,275000.0,101.0,50%-60%,96.5,1,5.0,1,25-34,285000,1
1,645000.0,175.0,41,56.0,1,6.0,3,45-54,1155000,1
0,45000.0,46.0,50%-60%,60.767,4,5.0,1,45-54,65000,1
1,275000.0,56.0,41,79.9,32,3.0,2,45-54,355000,1
1,205000.0,62.0,30%-<36%,74.074,32,5.0,1,35-44,275000,1
1,455000.0,135.0,39,90.0,1,2.0,1,35-44,505000,1
0,265000.0,81.0,43,52.0,31,5.0,1,55-64,505000,1
1,375000.0,120.0,30%-<36%,80.0,32,5.0,1,25-34,475000,1
0,105000.0,29.0,49,42.02,31,5.0,2,55-64,235000,1
1,275000.0,114.0,30%-<36%,95.0,1,5.0,2,25-34,285000,1
1,385000.0,69.0,50%-60%,,1,5.0,2,25-34,385000,1
1,305000.0,130.0,41,70.0,32,5.0,1,25-34,435000,1
0,125000.0,92.0,30%-<36%,95.388,2,2.0,2,25-34,355000,1
1,245000.0,120.0,49,76.88,31,5.0,2,55-64,325000,1
0,105000.0,62.0,>60%,79.926,4,5.0,2,45-54,375000,1
0,85000.0,193.0,30%-<36%,62.85,2,5.0,1,35-44,695000,1
0,105000.0,35.0,30%-<36%,,1,5.0,1,25-34,65000,1
1,525000.0,207.0,43,95.0,1,5.0,2,65-74,555000,1
1,165000.0,94.0,30%-<36%,72.235,32,5.0,1,45-54,225000,1
1,565000.0,161.0,41,80.0,1,5.0,1,25-34,705000,1
1,185000.0,182.0,30%-<36%,70.0,1,2.0,1,45-54,265000,2
1,545000.0,108.0,47,90.0,1,2.0,1,25-34,615000,1
0,55000.0,78.0,50%-60%,77.52,4,5.0,1,55-64,255000,1
1,635000.0,156.0,40,90.052,1,5.0,2,25-34,705000,1
1,185000.0,172.0,30%-<36%,69.308,32,5.0,1,45-54,265000,1
1,515000.0,158.0,43,80.0,1,5.0,1,65-74,645000,1
1,145000.0,46.0,Exempt,Exempt,1,5.0,2,45-54,Exempt,1
1,105000.0,215.0,Exempt,Exempt,2,5.0,1,35-44,Exempt,1
1,205000.0,135.0,50%-60%,11.085,2,6.0,3,45-54,1805000,1
1,375000.0,199.0,20%-<30%,95.0,1,5.0,1,35-44,395000,1
1,155000.0,51.0,37,97.0,1,5.0,2,55-64,155000,1
1,575000.0,188.0,50%-60%,100.0,1,3.0,2,35-44,555000,1
0,155000.0,85.0,50%-60%,,1,5.0,2,25-34,,1
1,305000.0,86.0,43,66.225,1,6.0,2,65-74,455000,1
0,95000.0,108.0,30%-<36%,,1,5.0,2,25-34,105000,1
1,225000.0,192.0,41,90.0,2,5.0,1,35-44,725000,1
1,175000.0,107.0,39,55.55,32,5.0,1,65-74,315000,1
1,105000.0,87.0,20%-<30%,80.0,1,5.0,1,35-44,135000,1
1,395000.0,121.0,50%-60%,96.5,1,6.0,1,25-34,405000,1
1,585000.0,100.0,49,77.624,1,5.0,2,45-54,755000,1
1,205000.0,500.0,30%-<36%,75.53,31,5.0,1,35-44,1135000,1
1,245000.0,122.0,<20%,84.283,1,2.0,1,35-44,285000,1
0,105000.0,34.0,49,35.714,1,3.0,2,65-74,285000,1
1,95000.0,27.0,50%-60%,44.55,4,6.0,2,55-64,225000,1
0,495000.0,126.0,,,1,3.0,2,45-54,,1
1,315000.0,192.0,44,96.49,1,5.0,2,25-34,325000,1
1,455000.0,362.0,20%-<30%,100.0,1,5.0,1,55-64,435000,1
1,165000.0,36.0,42,75.0,32,5.0,2,65-74,225000,1
1,555000.0,144.0,39,80.0,1,5.0,1,45-54,695000,1
1,125000.0,458.0,<20%,50.0,1,5.0,1,35-44,245000,1
0,225000.0,50.0,>60%,96.5,1,6.0,3,35-44,235000,1
0,85000.0,48.0,>60%,,1,5.0,1,55-64,85000,1
0,25000.0,62.0,>60%,14.02,2,5.0,1,55-64,175000,1
1,115000.0,36.0,41,80.0,1,5.0,1,45-54,145000,1
1,35000.0,114.0,38,67.682,4,5.0,1,25-34,485000,1
0,145000.0,113.0,,,1,6.0,1,25-34,,1
1,115000.0,44.0,20%-<30%,80.0,32,3.0,2,65-74,145000,1
1,225000.0,299.0,20%-<30%,75.0,1,5.0,1,25-34,295000,1
0,75000.0,25.0,>60%,,1,5.0,2,45-54,,1
1,435000.0,104.0,47,94.902,1,2.0,1,25-34,465000,1
0,105000.0,431.0,<20%,88.64,2,5.0,1,35-44,675000,1
1,215000.0,58.0,43,81.659,31,6.0,2,55-64,265000,1
1,295000.0,120.0,41,80.0,1,5.0,1,35-44,375000,1
1,425000.0,110.0,48,77.3,31,5.0,1,25-34,555000,1
1,255000.0,68.0,43,96.5,1,5.0,2,25-34,255000,1
1,575000.0,118.0,49,59.375,1,5.0,2,55-64,965000,1
1,375000.0,95.0,45,81.586,1,5.0,2,25-34,465000,1
1,325000.0,897.0,<20%,80.0,1,5.0,1,35-44,415000,1
1,365000.0,88.0,45,80.0,1,5.0,1,35-44,455000,1
1,135000.0,43.0,41,96.5,1,5.0,2,25-34,145000,1
0,85000.0,102.0,,94.981,1,3.0,1,65-74,95000,1
1,265000.0,78.0,30%-<36%,67.519,1,5.0,2,25-34,385000,1
1,345000.0,63.0,>60%,80.0,1,5.0,1,55-64,425000,1
0,305000.0,661.0,30%-<36%,65.217,4,2.0,1,25-34,465000,1
1,465000.0,106.0,50%-60%,100.0,1,6.0,1,35-44,465000,1
1,195000.0,304.0,38,75.0,1,6.0,1,45-54,255000,3
1,645000.0,181.0,41,84.601,1,5.0,1,55-64,765000,1
1,55000.0,170.0,36,40.642,4,5.0,2,45-54,1405000,1
0,55000.0,44.0,40,44.0,32,5.0,2,45-54,125000,1
0,225000.0,99.0,48,67.0,32,5.0,1,35-44,345000,1
1,245000.0,82.0,49,96.5,1,3.0,2,55-64,245000,1
0,155000.0,96.0,44,65.79,31,3.0,1,25-34,225000,1
0,45000.0,24.0,>60%,,1,5.0,1,25-34,55000,1
1,405000.0,221.0,46,76.689,1,5.0,1,55-64,535000,3
0,55000.0,29.0,>60%,30.86,32,5.0,2,65-74,165000,1
1,145000.0,39.0,48,80.0,1,3.0,2,25-34,175000,1
1,125000.0,72.0,40,,1,5.0,2,35-44,305000,1
1,255000.0,61.0,50%-60%,98.564,1,5.0,2,35-44,265000,1
0,175000.0,142.0,30%-<36%,80.0,1,5.0,1,45-54,215000,1
1,355000.0,86.0,50%-60%,96.5,1,6.0,3,65-74,355000,1
1,305000.0,84.0,50%-60%,97.954,1,3.0,2,25-34,315000,1
1,175000.0,62.0,30%-<36%,80.0,4,5.0,1,55-64,215000,1
1,165000.0,54.0,41,69.913,32,6.0,1,55-64,235000,1
0,35000.0,60.0,<20%,58.333,4,6.0,2,35-44,65000,1
1,85000.0,41.0,37,64.46,32,5.0,1,25-34,135000,1
1,75000.0,209.0,45,71.65,32,6.0,1,45-54,725000,1
1,285000.0,79.0,46,62.64,1,5.0,2,55-64,455000,1
1,115000.0,117.0,20%-<30%,,1,5.0,2,35-44,115000,1
1,495000.0,140.0,45,80.0,1,5.0,1,25-34,625000,1
1,485000.0,136.0,49,90.0,1,6.0,1,25-34,535000,1
1,255000.0,125.0,20%-<30%,49.333,1,5.0,1,45-54,525000,1
1,535000.0,256.0,20%-<30%,90.0,1,5.0,1,35-44,595000,1
1,205000.0,95.0,42,100.428,1,5.0,2,<25,205000,1
1,645000.0,230.0,38,65.38,1,6.0,3,35-44,985000,1
0,55000.0,30.0,39,16.628,32,5.0,2,65-74,345000,1
1,305000.0,157.0,20%-<30%,57.84,32,5.0,1,45-54,525000,1
1,355000.0,165.0,48,82.472,1,5.0,1,35-44,425000,1
1,205000.0,260.0,<20%,66.557,1,2.0,1,45-54,305000,3
1,245000.0,51.0,49,97.0,1,5.0,2,45-54,255000,1
1,535000.0,190.0,20%-<30%,80.0,1,2.0,1,25-34,675000,1
1,515000.0,148.0,30%-<36%,95.0,1,6.0,2,35-44,535000,1
1,305000.0,64.0,49,80.0,1,5.0,1,35-44,385000,1
0,175000.0,69.0,50%-60%,95.0,1,5.0,2,45-54,185000,1
0,135000.0,57.0,20%-<30%,,1,3.0,2,35-44,135000,1
1,155000.0,42.0,49,50.687,31,5.0,1,35-44,305000,1
0,165000.0,68.0,50%-60%,,1,6.0,1,25-34,,1
1,905000.0,360.0,30%-<36%,89.99,1,5.0,1,55-64,1005000,1
0,85000.0,12.0,>60%,85.0,1,3.0,1,55-64,105000,1
1,165000.0,92.0,47,70.906,31,5.0,1,25-34,235000,1
0,105000.0,372.0,Exempt,Exempt,2,2.0,1,45-54,Exempt,1
1,85000.0,43.0,30%-<36%,28.02,32,5.0,1,65-74,305000,1
0,35000.0,84.0,41,80.14,2,6.0,1,35-44,385000,1
1,35000.0,110.0,37,40.68,2,5.0,1,45-54,585000,1
1,125000.0,116.0,44,75.0,31,26.0,2,25-34,175000,2
0,235000.0,110.0,40,94.909,32,6.0,1,35-44,275000,1
1,385000.0,375.0,,75.0,1,5.0,1,35-44,,3
1,205000.0,67.0,44,80.0,32,5.0,1,55-64,255000,1
1,335000.0,95.0,30%-<36%,95.0,1,5.0,1,35-44,345000,1
0,455000.0,48.0,>60%,94.823,1,6.0,1,35-44,485000,1
1,625000.0,258.0,46,90.0,1,2.0,1,35-44,685000,1
1,315000.0,122.0,20%-<30%,96.5,1,5.0,2,<25,315000,1
1,265000.0,167.0,20%-<30%,60.796,31,5.0,2,55-64,445000,1
1,275000.0,142.0,38,75.0,1,6.0,1,35-44,365000,3
0,45000.0,12.0,>60%,8.889,4,3.0,2,65-74,455000,1
1,35000.0,40.0,41,59.842,1,5.0,1,55-64,185000,1
0,135000.0,28.0,>60%,,1,3.0,2,25-34,135000,1
1,225000.0,55.0,50%-60%,93.5,1,5.0,1,25-34,245000,1
1,345000.0,104.0,30%-<36%,95.0,1,5.0,1,35-44,355000,1
1,365000.0,108.0,42,38.4,32,6.0,1,45-54,945000,1
1,155000.0,225.0,20%-<30%,90.0,1,5.0,2,<25,165000,1
1,205000.0,69.0,46,96.5,1,5.0,1,45-54,215000,1
0,75000.0,31.0,39,80.0,4,5.0,1,55-64,85000,1
1,275000.0,90.0,47,71.321,31,5.0,1,45-54,385000,1
1,135000.0,5.0,,80.0,1,3.0,2,55-64,175000,3
1,675000.0,188.0,41,66.339,1,2.0,1,35-44,1015000,1
0,315000.0,235.0,20%-<30%,77.5,2,2.0,1,45-54,405000,1
1,325000.0,126.0,30%-<36%,67.708,32,5.0,1,45-54,485000,1
1,445000.0,171.0,30%-<36%,80.0,32,5.0,1,35-44,565000,1
1,245000.0,66.0,43,75.0,1,5.0,2,55-64,325000,1
1,345000.0,72.0,48,75.0,1,2.0,1,35-44,465000,1
0,55000.0,30.0,>60%,58.62,4,5.0,1,65-74,195000,1
1,245000.0,61.0,36,70.623,31,5.0,1,55-64,345000,1
0,255000.0,185.0,<20%,39.06,31,6.0,3,25-34,645000,1
1,175000.0,58.0,39,52.3077,31,5.0,2,45-54,325000,1
1,845000.0,188.0,42,85.0,1,5.0,1,25-34,995000,1
1,155000.0,46.0,38,62.5,32,5.0,2,45-54,245000,1
1,165000.0,60.0,43,76.04,32,5.0,2,65-74,215000,1
0,135000.0,110.0,43,80.31,1,6.0,3,35-44,515000,1
1,155000.0,146.0,20%-<30%,66.652,31,5.0,2,55-64,235000,1
0,265000.0,59.0,>60%,75.0,1,3.0,1,45-54,345000,1
1,5000.0,66.0,<20%,7.855,1,5.0,2,25-34,195000,1
1,235000.0,72.0,45,100.822,1,5.0,1,<25,225000,1
1,585000.0,182.0,30%-<36%,90.0,1,5.0,2,45-54,655000,1
1,75000.0,250.0,36,52.6,32,21.0,1,55-64,845000,1
1,275000.0,315.0,Exempt,Exempt,1,2.0,1,35-44,1255000,1
1,215000.0,105.0,<20%,29.126,32,5.0,2,55-64,725000,1
1,315000.0,119.0,20%-<30%,60.0,32,5.0,1,35-44,525000,1
0,255000.0,230.0,40,68.162,32,5.0,1,55-64,755000,1
0,335000.0,96.0,36,82.5,32,5.0,1,>74,405000,1
1,265000.0,86.0,50%-60%,96.5,1,5.0,2,25-34,265000,1
1,385000.0,64.0,50%-60%,89.999,1,2.0,1,35-44,415000,1
1,125000.0,148.0,30%-<36%,62.42,2,5.0,1,25-34,505000,1
1,225000.0,66.0,50%-60%,96.5,1,5.0,1,35-44,235000,1
0,75000.0,87.0,30%-<36%,,1,5.0,1,45-54,75000,1
1,325000.0,166.0,20%-<30%,41.27,32,5.0,1,35-44,795000,1
1,175000.0,41.0,37,41.0,32,5.0,2,65-74,435000,1
1,275000.0,72.0,48,80.0,1,5.0,1,25-34,345000,1
1,285000.0,135.0,20%-<30%,95.0,1,5.0,2,25-34,305000,1
1,35000.0,40.0,30%-<36%,45.0,2,3.0,1,65-74,75000,1
1,155000.0,56.0,40,96.5,1,5.0,2,25-34,165000,1
1,345000.0,126.0,40,64.0,31,5.0,2,45-54,545000,1
0,405000.0,113.0,44,58.0,32,5.0,2,55-64,705000,1
0,135000.0,98.0,50%-60%,60.271,32,3.0,2,35-44,225000,3
1,155000.0,338.0,30%-<36%,80.0,4,5.0,1,35-44,905000,1
1,205000.0,90.0,30%-<36%,57.143,1,5.0,2,65-74,355000,1
1,5000.0,59.0,46,83.2,1,6.0,3,35-44,315000,1
1,435000.0,135.0,48,85.0,1,2.0,1,25-34,515000,1
1,225000.0,162.0,30%-<36%,46.417,31,6.0,1,35-44,485000,1
1,295000.0,97.0,50%-60%,96.5,1,5.0,1,25-34,305000,1
1,395000.0,161.0,30%-<36%,95.0,1,2.0,1,25-34,415000,1
1,505000.0,246.0,20%-<30%,58.14,1,2.0,3,35-44,865000,1
1,245000.0,79.0,49,96.5,1,5.0,1,35-44,245000,1
1,105000.0,83.0,Exempt,Exempt,4,5.0,2,45-54,Exempt,1
1,125000.0,0.0,,71.925,32,5.0,1,45-54,175000,3
1,315000.0,135.0,30%-<36%,85.0,1,5.0,1,35-44,365000,1
0,95000.0,23.0,49,32.85,32,5.0,1,45-54,275000,1
1,105000.0,67.0,45,,1,5.0,1,25-34,135000,1
0,225000.0,100.0,20%-<30%,73.333,31,5.0,1,45-54,305000,1
1,135000.0,177.0,<20%,63.47,1,5.0,2,65-74,215000,1
1,195000.0,105.0,46,90.0,1,6.0,3,45-54,215000,1
0,205000.0,55.0,30%-<36%,78.846,32,5.0,3,45-54,265000,1
1,275000.0,56.0,45,100.0,1,5.0,1,<25,265000,1
1,405000.0,171.0,50%-60%,73.728,1,6.0,1,55-64,545000,1
0,45000.0,100.0,42,75.273,4,6.0,3,35-44,185000,1
1,255000.0,127.0,20%-<30%,55.556,1,6.0,3,55-64,455000,1
0,155000.0,61.0,>60%,75.0,32,5.0,1,55-64,205000,1
0,65000.0,93.0,20%-<30%,40.0,31,5.0,2,55-64,275000,1
1,145000.0,90.0,40,59.593,32,6.0,1,35-44,245000,1
1,235000.0,57.0,44,80.0,31,3.0,1,>74,295000,1
1,645000.0,248.0,20%-<30%,80.0,1,2.0,2,35-44,805000,1
1,345000.0,124.0,37,100.0,1,5.0,1,25-34,345000,1
1,325000.0,137.0,44,80.0,1,5.0,1,<25,405000,1
0,95000.0,49.0,20%-<30%,98.36,1,6.0,1,45-54,105000,1
1,315000.0,68.0,41,72.13,31,5.0,1,35-44,435000,1
0,185000.0,117.0,40,74.797,32,5.0,1,55-64,245000,1
0,15000.0,157.0,20%-<30%,,2,5.0,2,45-54,,1
0,205000.0,30.0,>60%,97.0,1,5.0,1,<25,215000,1
1,185000.0,42.0,49,58.25,1,5.0,1,45-54,315000,1
1,255000.0,65.0,44,97.0,1,5.0,1,35-44,265000,1
1,395000.0,39.0,,,31,5.0,1,65-74,755000,1
0,105000.0,60.0,41,35.0,32,5.0,2,65-74,285000,1
0,105000.0,75.0,50%-60%,75.99,2,3.0,2,35-44,485000,1
1,345000.0,134.0,30%-<36%,72.447,1,5.0,2,35-44,475000,1
0,115000.0,35.0,50%-60%,,1,6.0,2,45-54,115000,1
1,205000.0,64.0,30%-<36%,63.272,32,5.0,1,35-44,325000,1
1,95000.0,83.0,45,99.445,1,5.0,2,45-54,95000,1
1,435000.0,119.0,50%-60%,100.0,1,4.0,1,25-34,425000,1
1,135000.0,82.0,30%-<36%,75.0,32,5.0,1,35-44,185000,1
1,295000.0,54.0,50%-60%,100.0,1,3.0,1,55-64,295000,1
1,505000.0,187.0,30%-<36%,77.49,1,5.0,2,45-54,655000,1
1,255000.0,100.0,20%-<30%,96.5,1,5.0,2,25-34,255000,1
0,115000.0,208.0,30%-<36%,83.286,4,3.0,2,35-44,495000,1
1,305000.0,173.0,30%-<36%,97.0,1,5.0,2,35-44,315000,1
0,245000.0,233.0,43,46.28,4,5.0,1,65-74,2285000,1
1,205000.0,95.0,30%-<36%,85.088,31,5.0,1,25-34,245000,1
0,75000.0,120.0,<20%,26.016,1,5.0,2,55-64,295000,1
1,265000.0,63.0,50%-60%,96.5,1,6.0,1,45-54,265000,1
1,305000.0,93.0,50%-60%,99.446,1,5.0,2,55-64,315000,1
0,85000.0,65.0,20%-<30%,,1,5.0,1,25-34,85000,1
1,325000.0,123.0,20%-<30%,85.0,1,3.0,2,25-34,375000,1
1,245000.0,64.0,49,80.0,31,6.0,3,25-34,315000,1
1,185000.0,40.0,,,31,5.0,1,>74,325000,1
1,335000.0,129.0,30%-<36%,95.0,1,6.0,1,35-44,355000,1
1,105000.0,90.0,39,53.73,31,6.0,1,45-54,205000,1
1,235000.0,169.0,<20%,38.5,31,6.0,3,45-54,605000,1
1,115000.0,37.0,44,71.338,32,6.0,2,65-74,155000,1
1,845000.0,737.0,<20%,80.0,1,6.0,1,45-54,1055000,1
1,305000.0,98.0,45,97.0,1,6.0,3,25-34,315000,1
1,215000.0,72.0,38,96.5,1,5.0,2,45-54,225000,1
1,335000.0,146.0,30%-<36%,80.0,1,3.0,1,35-44,415000,1
1,275000.0,147.0,41,80.0,1,2.0,1,35-44,345000,3
1,185000.0,82.0,30%-<36%,60.0,32,5.0,2,35-44,315000,1
1,205000.0,69.0,45,96.5,1,5.0,1,55-64,205000,1
1,325000.0,124.0,30%-<36%,100.0,1,6.0,2,<25,325000,1
1,415000.0,117.0,30%-<36%,80.0,1,3.0,2,35-44,515000,1
0,245000.0,100.0,50%-60%,96.5,1,5.0,2,25-34,245000,1
1,45000.0,61.0,20%-<30%,33.439,32,5.0,2,65-74,125000,1
0,155000.0,276.0,50%-60%,81.124,1,6.0,1,55-64,845000,1
0,195000.0,113.0,40,80.816,1,5.0,2,55-64,245000,1
1,2725000.0,965.0,42,85.0,1,5.0,1,35-44,3205000,1
0,15000.0,55.0,50%-60%,3.784,2,3.0,2,65-74,295000,1
1,335000.0,140.0,49,80.0,1,5.0,2,35-44,415000,1
0,25000.0,84.0,>60%,76.98,4,3.0,1,25-34,335000,1
0,215000.0,44.0,>60%,90.0,1,2.0,2,25-34,235000,1
1,45000.0,152.0,30%-<36%,94.99,1,5.0,2,25-34,275000,1
1,215000.0,55.0,50%-60%,,1,5.0,1,>74,215000,1
1,95000.0,64.0,Exempt,Exempt,4,5.0,1,55-64,Exempt,1
1,35000.0,90.0,30%-<36%,79.59,2,5.0,1,25-34,315000,1
1,375000.0,120.0,48,96.0,1,5.0,6,45-54,385000,1
1,235000.0,84.0,20%-<30%,80.0,1,2.0,1,35-44,295000,1
1,255000.0,193.0,42,71.8,31,5.0,1,45-54,1045000,1
1,255000.0,99.0,50%-60%,96.49,1,5.0,2,45-54,265000,1
1,475000.0,254.0,20%-<30%,85.0,1,5.0,2,35-44,555000,1
0,275000.0,120.0,,,31,5.0,2,55-64,,1
1,255000.0,157.0,20%-<30%,80.0,1,6.0,2,35-44,315000,1
1,265000.0,200.0,20%-<30%,80.0,1,2.0,1,25-34,325000,3
1,635000.0,213.0,43,95.0,1,3.0,1,55-64,665000,1
1,105000.0,27.0,43,54.0,32,5.0,2,65-74,195000,1
1,155000.0,817.0,Exempt,Exempt,1,6.0,1,45-54,Exempt,3
1,725000.0,326.0,37,100.0,1,5.0,1,25-34,725000,1
1,335000.0,113.0,49,95.0,1,5.0,1,25-34,355000,1
1,85000.0,47.0,30%-<36%,98.19,1,6.0,1,25-34,85000,1
0,95000.0,65.0,41,,1,6.0,3,35-44,105000,1
0,275000.0,18.0,Exempt,Exempt,31,5.0,1,45-54,Exempt,1
0,135000.0,82.0,40,,1,5.0,2,35-44,145000,1
1,225000.0,125.0,50%-60%,96.5,1,5.0,2,55-64,235000,1
1,445000.0,127.0,30%-<36%,80.0,1,5.0,2,25-34,555000,1
1,165000.0,82.0,30%-<36%,76.82,31,1.0,1,25-34,215000,1
1,635000.0,217.0,38,73.291,31,6.0,3,35-44,865000,1
1,365000.0,116.0,42,80.0,1,3.0,2,35-44,455000,1
1,195000.0,48.0,50%-60%,103.069,1,5.0,2,<25,195000,1
1,205000.0,80.0,48,61.538,1,6.0,2,45-54,325000,1
1,355000.0,87.0,48,99.325,1,5.0,1,35-44,355000,1
1,95000.0,487.0,20%-<30%,75.0,1,5.0,1,35-44,125000,3
1,385000.0,74.0,50%-60%,100.0,1,5.0,1,35-44,385000,1
1,105000.0,70.0,48,72.33,32,5.0,1,35-44,295000,1
1,365000.0,81.0,50%-60%,95.0,1,27.0,1,25-34,375000,1
1,285000.0,127.0,30%-<36%,82.609,1,5.0,2,35-44,345000,1
1,475000.0,131.0,49,95.0,1,2.0,1,35-44,495000,1
1,375000.0,120.0,48,96.5,1,5.0,1,35-44,385000,1
1,315000.0,74.0,38,87.5,1,5.0,1,25-34,355000,1
0,95000.0,44.0,>60%,94.96,1,5.0,1,25-34,105000,1
1,105000.0,37.0,43,28.97,1,5.0,2,65-74,355000,1
0,185000.0,174.0,41,71.77,31,6.0,3,35-44,255000,1
0,15000.0,120.0,30%-<36%,73.0,2,5.0,1,25-34,505000,1
1,505000.0,117.0,>60%,,1,5.0,1,25-34,505000,1
1,405000.0,147.0,37,57.143,1,2.0,1,45-54,705000,1
0,125000.0,85.0,,,1,5.0,1,25-34,,1
1,175000.0,81.0,30%-<36%,44.0,31,5.0,1,35-44,405000,1
